Customer ID #,NH4-N (ppm),NO3-N (ppm)
144,1.57,BQL
145,1.65,BQL
146,1.45,BQL
147,1.45,BQL
148,1.98,BQL
149,1.52,BQL
150,1.35,BQL
151,1.43,BQL
152,2.73,BQL
153,3.29,BQL
154,1.38,BQL
155,2.00,BQL
156,1.38,BQL
157,1.61,BQL
158,2.52,BQL
159,2.59,BQL
160,1.61,BQL
161,1.48,BQL
162,1.71,BQL
163,3.11,BQL
164,1.50,BQL
165,1.45,BQL
166,1.88,BQL
167,1.33,BQL
168,1.17,BQL
169,1.74,1.07
170,5.03,BQL
171,7.90,BQL
172,1.60,BQL
173,1.88,BQL
174,1.72,BQL
175,1.69,BQL
176,1.52,BQL
177,1.85,BQL
178,1.99,BQL
179,2.00,BQL
180,1.82,BQL
181,1.59,BQL
182,0.92,BQL
183,1.51,BQL
184,1.35,BQL
185,1.80,BQL
186,1.53,BQL
187,1.67,BQL
188,1.83,BQL
189,1.50,BQL
190,1.67,BQL
191,1.59,BQL
192,1.73,BQL
193,1.55,BQL
194,1.30,BQL
195,1.68,BQL
196,1.45,BQL
197,1.45,BQL
198,1.25,BQL
199,1.10,BQL
200,1.53,BQL
201,2.12,BQL
202,2.90,BQL
203,3.08,BQL
204,3.45,0.35
205,2.24,BQL
206,1.58,BQL
207,2.83,BQL
208,3.71,BQL
209,2.79,BQL
210,1.46,BQL
211,1.69,BQL
212,1.80,BQL
213,1.77,BQL
214,2.31,BQL
215,1.99,BQL
216,1.39,BQL
217,1.53,BQL
218,1.22,BQL
219,1.48,BQL
220,1.50,BQL
221,1.43,BQL
222,1.60,BQL
223,1.55,BQL
224,1.48,BQL
225,1.54,BQL
226,1.50,BQL
227,1.64,BQL
228,1.87,BQL
229,1.46,BQL
230,1.45,BQL
231,1.50,BQL
232,1.77,BQL
233,2.28,BQL
234,1.38,BQL
235,1.48,BQL
236,1.38,BQL
237,1.36,BQL
238,1.73,BQL