"sample_label","region","site","transect","tree_number","horizon","Quartz","Albite","Microcline","Muscovite","Kaolinite","Chlorite","Hornblende","Pyrite","Halite","Gypsum","Crystallinity"
"COMPASS_Dec2021_001","Erie","PTR","upland","1","A",64,8.3,5,22,0,0,0,0,0,0,0.0371
"COMPASS_Dec2021_002","Erie","PTR","upland","2","A",65,7.7,7.1,20,0,0,0,0,0,0,0.0418
"COMPASS_Dec2021_003","Erie","PTR","upland","3","A",62,7.8,7,23,0,0,0,0,0,0,0.0842
"COMPASS_Dec2021_010","Erie","PTR","transition","11","A",54,9.8,4.8,32,0,0,0,0,0,0,0.0293
"COMPASS_Dec2021_011","Erie","PTR","transition","12","A",52,8.3,5.7,28,6.2,0,0,0,0,0,0.0326
"COMPASS_Dec2021_012","Erie","PTR","transition","13","A",61,6.5,5,28,0,0,0,0,0,0,0.0717
"COMPASS_Dec2021_019","Erie","PTR","wetland","L1","A",35,7.2,11,39,8.2,0.5,0,0,0,0,0.0653
"COMPASS_Dec2021_023","Erie","PTR","wetland","L5","A",43,8.4,6.9,35,5.3,1.2,0,0,0,0,0.035
"COMPASS_Dec2021_024","Erie","PTR","wetland","L6","A",35,7.2,9.2,40,8.2,0.8,0,0,0,0,0.0331
"COMPASS_Dec2021_034","Erie","CRC","upland","201","A",61,9.1,7.4,22,0,0,0,0,0,0,0.0418
"COMPASS_Dec2021_035","Erie","CRC","upland","202","A",68,10,4.9,17,0,0,0,0,0,0,0.0368
"COMPASS_Dec2021_036","Erie","CRC","upland","203","A",62,8.1,7.2,22,0,0,0,0,0,0,0.0805
"COMPASS_Dec2021_044","Erie","CRC","transition","212","A",50,8.6,8.2,28,5.5,0,0,0,0,0,0.0372
"COMPASS_Dec2021_045","Erie","CRC","transition","213","A",46,9.2,6.3,32,5.5,0.7,0,0,0,0,0.0325
"COMPASS_Dec2021_046","Erie","CRC","transition","214","A",44,6.3,9,34,5.8,0.7,0,0,0,0,0.0759
"COMPASS_Dec2021_052","Erie","CRC","wetland","W1","A",39,6.6,8.1,40,6.5,0,0,0,0,0,0.0271
"COMPASS_Dec2021_054","Erie","CRC","wetland","W3","A",38,6.8,8.5,39,7.1,0.7,0,0,0,0,0.0663
"COMPASS_Dec2021_058","Erie","CRC","wetland","W7","A",38,6.9,9.1,40,6.5,0,0,0,0,0,0.0331
"COMPASS_Dec2021_061","Erie","OWC","upland","101","A",68,9.2,4.9,17,0,0,0,0,0,0,0.0429
"COMPASS_Dec2021_062","Erie","OWC","upland","102","A",65,8.7,8.9,18,0,0,0,0,0,0,0.045
"COMPASS_Dec2021_063","Erie","OWC","upland","103","A",62,11,6,20,0,1.2,0,0,0,0,0.0779
"COMPASS_Dec2021_070","Erie","OWC","transition","120","A",64,9.5,7.9,19,0,0,0,0,0,0,0.0388
"COMPASS_Dec2021_071","Erie","OWC","transition","121","A",66,11,4.3,18,0,0,0,0,0,0,0.0426
"COMPASS_Dec2021_072","Erie","OWC","transition","122","A",64,9.2,6,21,0,0,0,0,0,0,0.041
"COMPASS_Dec2021_073","Erie","OWC","transition","123","A",63,10,4.8,21,0,0.9,0,0,0,0,0.0379
"COMPASS_Dec2021_074","Erie","OWC","transition","124","A",62,11,6.7,21,0,0,0,0,0,0,0.0365
"COMPASS_Dec2021_075","Erie","OWC","transition","125","A",63,12,4,21,0,0,0,0,0,0,0.0379
"COMPASS_Dec2021_076","Erie","OWC","transition","126","A",66,11,6.1,16,0,0,0,0,0,0,0.0382
"COMPASS_Dec2021_077","Erie","OWC","transition","127","A",62,11,6.3,20,0,0,0,0,0,0,0.0407
"COMPASS_Dec2021_078","Erie","OWC","transition","128","A",62,9.2,5,24,0,0,0,0,0,0,0.0347
"COMPASS_Dec2021_079","Erie","OWC","wte","W1","A",63,10,4.7,21,0,1,0,0,0,0,0.0416
"COMPASS_Dec2021_080","Erie","OWC","wte","W2","A",63,12,5.2,20,0,0,0,0,0,0,0.0358
"COMPASS_Dec2021_081","Erie","OWC","wte","W3","A",60,10,9.2,20,0,1.4,0,0,0,0,0.0768
"COMPASS_Dec2021_088","Erie","OWC","wetland","WC1","A",62,8.5,3.6,26,0,0,0,0,0,0,0.0378
"COMPASS_Dec2021_089","Erie","OWC","wetland","WC2","A",55,8.9,7.2,23,5.4,0.8,0,0,0,0,0.0411
"COMPASS_Dec2021_090","Erie","OWC","wetland","WC3","A",54,9.4,6.9,24,5.1,0.8,0,0,0,0,0.0854
"COMPASS_Dec2021_097","Erie","PTR","upland","2","B",59,7.3,7.1,26,0,1.4,0,0,0,0,0.0378
"COMPASS_Dec2021_099","Erie","PTR","upland","4","B",63,7.8,5.9,22,0,1.9,0,0,0,0,0.0674
"COMPASS_Dec2021_100","Erie","PTR","upland","5","B",53,8.1,5.7,27,5.2,0.8,0,0,0,0,0.0715
"COMPASS_Dec2021_107","Erie","OWC","upland","101","B",67,11,6.1,16,0,0.5,0,0,0,0,0.0454
"COMPASS_Dec2021_108","Erie","OWC","upland","105","B",68,13,8.6,11,0,0.2,0,0,0,0,0.047
"COMPASS_Dec2021_109","Erie","OWC","upland","106","B",60,11,5.8,22,0,0.9,0,0,0,0,0.0846
"COMPASS_Dec2021_112","Erie","OWC","transition","120","B",62,8.8,5.1,23,0,1.5,0,0,0,0,0.0393
"COMPASS_Dec2021_113","Erie","OWC","transition","121","B",63,9.6,6.9,20,0,0.9,0,0,0,0,0.0471
"COMPASS_Dec2021_114","Erie","OWC","transition","122","B",61,10,8.9,19,0,0.6,0,0,0,0,0.0941
"COMPASS_May22_129","Chesapeake","MSM","upland","401","O",91,9,0,0,0,0,0,0,0,0,0.0233
"COMPASS_May22_130","Chesapeake","MSM","upland","402","O",82,7.3,0,10,0,0,0,0,0,0,0.0258
"COMPASS_May22_131","Chesapeake","MSM","upland","403","O",85,11,4.1,0,0,0,0,0,0,0,0.00987
"COMPASS_May22_139","Chesapeake","MSM","transition","411","O",95,5.3,0,0,0,0,0,0,0,0,0.00409
"COMPASS_May22_140","Chesapeake","MSM","transition","412","O",100,0,0,0,0,0,0,0,0,0,0.0022
"COMPASS_May22_141","Chesapeake","MSM","transition","413","O",76,4.8,5,15,0,0,0,0,0,0,0.0351
"COMPASS_May22_146","Chesapeake","MSM","wetland","W2","O",48,0,0,0,14,0,0,0,14,23,0.00358
"COMPASS_May22_154","Chesapeake","MSM","upland","401","A",82,5.2,4.1,8.9,0,0,0,0,0,0,0.0496
"COMPASS_May22_155","Chesapeake","MSM","upland","402","A",20,3.5,0,11,0,0,0,0,65,0,0.0163
"COMPASS_May22_156","Chesapeake","MSM","upland","401","B",81,5.1,3.3,10,0,0,0,0,0,0,0.0591
"COMPASS_May22_157","Chesapeake","MSM","upland","402","B",82,5.8,3.3,8.9,0,0,0,0,0,0,0.0531
"COMPASS_May22_158","Chesapeake","MSM","upland","403","B",80,6,4.4,9.1,0,0,0,0,0,0,0.105
"COMPASS_May22_164","Chesapeake","MSM","transition","409","B",77,5.9,3.8,13,0,0,0,0,0,0,0.0557
"COMPASS_May22_165","Chesapeake","MSM","transition","410","B",81,6.2,4.5,8.6,0,0,0,0,0,0,0.052
"COMPASS_May22_166","Chesapeake","MSM","transition","411","B",78,6.8,5.5,9.1,0,0.3,0,0,0,0,0.115
"COMPASS_May22_172","Chesapeake","GWI","upland","622","O",86,14,0,0,0,0,0,0,0,0,0.0149
"COMPASS_May22_174","Chesapeake","GWI","upland","642","O",93,6.9,0,0,0,0,0,0,0,0,0.0129
"COMPASS_May22_175","Chesapeake","GWI","upland","647","O",87,13,0,0,0,0,0,0,0,0,0.00946
"COMPASS_May22_180","Chesapeake","GWI","transition","162","O",87,4.1,0,0,9,0,0,0,0,0,0.0178
"COMPASS_May22_181","Chesapeake","GWI","transition","163","O",50,6.6,7.2,28,8,0,0,0,0,0,0.0148
"COMPASS_May22_183","Chesapeake","GWI","transition","766","O",56,6.8,0,29,8.2,0,0,0,0,0,0.00846
"COMPASS_May22_188","Chesapeake","GWI","wetland","W1","O",65,0,0,18,0,0,0,0,17,0,0.0262
"COMPASS_May22_189","Chesapeake","GWI","wetland","W2","O",90,3.4,0,0,0,0,0,0,6.9,0,0.025
"COMPASS_May22_190","Chesapeake","GWI","wetland","W3","O",74,5.1,0,13,0,0,0,0,8.2,0,0.0495
"COMPASS_May22_196","Chesapeake","GWI","upland","622","A",96,4,0,0,0,0,0,0,0,0,0.0467
"COMPASS_May22_197","Chesapeake","GWI","upland","633","A",91,3.5,0,5.8,0,0,0,0,0,0,0.0497
"COMPASS_May22_198","Chesapeake","GWI","upland","642","A",92,8.2,0,0,0,0,0,0,0,0,0.0852
"COMPASS_May22_204","Chesapeake","GWI","transition","162","A",92,0,0,7.9,0,0,0,0,0,0,0.105
"COMPASS_May22_206","Chesapeake","GWI","transition","164","A",100,0,0,0,0,0,0,0,0,0,0.0459
"COMPASS_May22_207","Chesapeake","GWI","transition","766","A",95,0,0,5.1,0,0,0,0,0,0,0.105
"COMPASS_May22_212","Chesapeake","GWI","upland","622","B",91,3.8,0,5.5,0,0,0,0,0,0,0.0486
"COMPASS_May22_214","Chesapeake","GWI","upland","682","B",87,4.7,3.8,4.3,0,0,0,0,0,0,0.109
"COMPASS_Aug22_215","Chesapeake","GCW","upland","C12","A",84,0,2.9,13,0,0,0,0,0,0,0.0488
"COMPASS_Aug22_216","Chesapeake","GCW","upland","C11","A",76,0,8,16,0,0,0,0,0,0,0.0801
"COMPASS_Aug22_217","Chesapeake","GCW","upland","C10","A",77,3,3.1,17,0,0,0,0,0,0,0.0719
"COMPASS_Aug22_223","Chesapeake","GCW","transition","L1","A",72,2.7,5.8,20,0,0,0,0,0,0,0.0374
"COMPASS_Aug22_224","Chesapeake","GCW","transition","L2","A",78,0,3.3,19,0,0,0,0,0,0,0.0631
"COMPASS_Aug22_225","Chesapeake","GCW","transition","L3","A",72,6.4,6.4,15,0,0,0,0,0,0,0.0705
"COMPASS_Aug22_233","Chesapeake","GCW","wetland","W3","A",46,0,0,33,9.8,0,0,4.7,5.7,0,0.0211
"COMPASS_Aug22_234","Chesapeake","GCW","wetland","W4","A",28,0,0,37,13,0,0,3.1,18,0,0.0302
"COMPASS_Aug22_235","Chesapeake","GCW","wetland","W5","A",28,3.4,4.4,34,11,0,0,0,20,0,0.0253
"COMPASS_Aug22_239","Chesapeake","GCW","upland","C12","B",85,0,3.4,12,0,0,0,0,0,0,0.0421
"COMPASS_Aug22_240","Chesapeake","GCW","upland","C11","B",59,0,4.8,28,8.6,0,0,0,0,0,0.0801
"COMPASS_Aug22_241","Chesapeake","GCW","upland","C10","B",56,0,7.5,29,7.4,0,0,0,0,0,0.0671
"COMPASS_Aug22_248","Chesapeake","GCW","transition","L2","B",75,0,2.5,22,0,0,0,0,0,0,0.0355
"COMPASS_Aug22_249","Chesapeake","GCW","transition","L3","B",74,3.9,0,22,0,0,0,0,0,0,0.0636
"COMPASS_Aug22_250","Chesapeake","GCW","transition","L4","B",77,0,4,19,0,0,0,0,0,0,0.0766
"COMPASS_Aug22_254","Chesapeake","GCW","transition","713","B",76,0,4.3,19,0,0.8,0,0,0,0,0.0775
