region,site,transect,lat,long,distance_to_wetland_m,distance_to_water_m,elev_m
Chesapeake,Sweet Hall Marsh,wetland,37.566587,-76.897031,0,,0.19412291
Chesapeake,Sweet Hall Marsh,transition,37.568826,-76.896438,253.95,,0.525308132
Chesapeake,Sweet Hall Marsh,upland,37.570689,-76.895726,470.07,,0.726908922
,,,,,,,
Chesapeake,MSM,water edge,38.42759,-76.22866,,0,0.292810053
Chesapeake,MSM,wetland,38.430762,-76.228614,0,265,0.292810053
Chesapeake,MSM,transition,38.430909,-76.227681,83.06,348.06,0.476162761
Chesapeake,MSM,upland,38.431376,-76.226581,192.18,458,0.680754006
,,,,,,,
Chesapeake,GWI,water edge,37.2184,-76.41185,,0,0.679172575
Chesapeake,GWI,wetland,37.218901,-76.410094,0,164.86,0.679172575
Chesapeake,GWI,transition,37.219377,-76.409241,92.3,257.16,0.790806055
Chesapeake,GWI,upland,37.219244,-76.408673,131.7,296.56,1.032942653
,,,,,,,
Chesapeake,GCW,water edge,38.87579,-76.55016,,0,0.241999656
Chesapeake,GCW,wetland,38.874957,-76.549978,0,42.67,0.241999656
Chesapeake,GCW,transition,38.874473,-76.551469,140.08,182.75,1.214899778
Chesapeake,GCW,upland,38.874076,-76.552129,212.33,255,7.092357159
,,,,,,,
Erie,PTR,water edge,41.50198,-83.04307,,0,174.8607127
Erie,PTR,wetland,41.50174,-83.04372,0,58.08,174.8607127
Erie,PTR,transition,41.502723,-83.045662,195.2,253.28,175.4337382
Erie,PTR,upland,41.50148,-83.04611,201.12,259.2,175.6897598
,,,,,,,
Erie,OWC,water edge,41.37652,-82.5093,,0,174.7631745
Erie,OWC,wetland,41.376445,-82.509024,0,24.13,174.7631745
Erie,OWC,transition,41.376017,-82.507507,135.5,159.63,175.2264765
Erie,OWC,upland,41.37618,-82.50685,183.77,207.9,179.7436147
,,,,,,,
Erie,CRC,water edge,41.62105,-83.23897,,0,175.0557892
Erie,CRC,wetland,41.62185,-83.2389,0,89,175.0557892
Erie,CRC,transition,41.62192,-83.23815,63,118,175.104552
Erie,CRC,upland,41.61524,-83.22889,1110,1060,175.2234255